,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
764950,-374290515312.2142,-41839000520.171104,-14816610902.920263,61743088.29484026,6869.5492569167,-17.34960460255231,-212.81714996388314,44.395434848602335,-18.414220562852496,2.5094649454232916
787331,-374432138128.6748,60149683677.45884,2179919215.0008388,-112936290.77541737,346645.38013107865,1770.5890588692275,-1265.27581575175,-584.225893506049,3.3093924824014556,-29.340292481949266
808141,-374207187420.4293,165466978246.14,-936202429.5689017,81090058.08268242,1594.359773141766,251.2640009926586,-465.65750054569503,4.338896168808018,134.09018648572282,-1.2443233079112106
831402,-374553441169.11566,-71696296143.6461,-3064243663.6878123,-62840789.41170363,3904.4031973599244,1769.2065818950846,-91.60277132845968,16.09264076216955,42.57813604014938,-7.395633460989385
874208,-374409968760.9818,-25150983310.03857,4023551342.6312337,-38328629.2479192,12192.424903486617,-19600.011400190127,545.483601650267,-63.65619015855893,-59.16299091417782,-10.15187841496717
927849,-374962360420.9942,142388329681.3336,-3567786146.666944,-82032883.52514912,125102.45959228142,-6712.383676166194,-378.63291390831995,68.28045448785589,-39.38979034635709,-15.304354646312666
981604,-374390116801.3813,-27068850160.698593,-5065911467.909413,-14287492.78906913,-24089.52562937398,5062.281757234449,-224.4392966614013,19.00205432291619,62.206022182372934,14.19139561298228
1005967,-374743067283.5425,-80215867721.87907,20292439328.280663,-18177480.022820663,138563.25835821484,3200.870100415586,-649.6055808092312,-321.84033362287255,1.232246573294156,-16.78317675030005
1019810,-361460423871.4068,-70236378403.6444,-12730650402.479658,-3949219.874721255,-7750.350508621819,-1334.8665146162652,-8.874510638052376,29.58807174077972,359.6076426869983,16.09869754660581
1046641,-374389781824.5822,-26004824937.907974,-5872395933.49539,-21349382.966834504,-28299.50749408893,5451.457814167389,-215.83847544572902,34.47387416053833,-4.547558724782714,-3.4421596923515994
1078384,-374102438465.5817,183275671680.63724,-3392748690.4663105,-68748342.6688446,36196.80160349386,1201.7989890876227,-354.03716010471356,-47.78469853049685,69.37488955038836,56.22757605271539
1118032,-369998686821.6533,53040792170.60386,6753978207.037042,-28438232.232551794,-19061.75706921492,5393.984982381803,-325.55748395626233,-66.46360747841717,120.65172738478901,-7.778518492799573
1125165,-374053739711.0126,216023740769.78882,-4973820040.831577,-11066600.850832589,120902.44125886238,5086.849162665572,-946.7068665319758,-104.47364877193556,-27.24203435508902,-10.62152667953747
1134213,-374759808875.026,-73751701256.44505,21047189461.768616,-29298509.07778218,72009.31446393677,1242.9475923789244,-362.127213144008,-272.10423985040967,-6.713886487901871,-15.130697597054647
1135183,-374852947063.7507,226640885559.24045,-9842728519.904026,-80621587.6526047,35048.15443682282,1877.3851421461372,-476.2235933885239,7.587478262882851,-33.76422145320087,-10.969760952172454
1262797,-374438397522.2476,-75556919131.36679,-9311334001.576097,-117470269.87175284,-17238.744505989078,-1219.4619256049245,162.8974118646392,25.302489175315277,119.86669010808524,-9.456858273451598
1283708,-374272339141.1056,142745412482.43637,-155076010.2801719,-100455486.46371299,52814.31310128143,1112.7381955364672,-405.2613927269592,162.10798862565187,54.565891230754225,-13.989856461968044
1314909,-374158125357.69293,153578174754.4065,-1381421504.532646,16800195.488486502,-9237.348214513362,-1623.433326714495,-270.22641364444564,3.3213116341574622,-44.727294388584475,-4.2752892108802065
1347289,-374119633587.2521,48912802534.68522,-1432596926.142419,20443411.56374385,-17184.65643594901,-15487.323378961522,348.7577592110218,20.024140740346173,-64.19866507489876,-3.6768926410739344
1370899,-374498966464.1167,-80950838534.02171,-8575161843.050801,-70061730.71357432,-18889.542929287898,-728.3745649390632,95.13167518264173,28.81083299899154,38.308750507214974,-6.901289466181843
1379316,-374145025920.10614,78306198013.57973,-644422736.9903023,23143747.631956965,6282.88489492899,-11077.899407347873,83.29379567718316,117.84395837040853,-56.99410285190872,-3.743756503108619
