,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
623059,-374633414611.1141,-86510193356.21315,-1348290776.6231127,-57951535.02737162,-25712.35369345604,1729.8056408646369,11.234252074886792,5.932319499404074,-3.3445958012280674,-7.148693789008159
628804,-374523627945.6453,-84602175963.92532,-8256833902.641094,-84632353.23596084,-8764.317452601554,-883.2157311245762,90.2838193863335,-9.161672130387771,6.189092138595754,-8.368220582019394
632139,-374063767219.81134,155300121286.34604,-3204296980.4183164,-58702794.63874266,23710.734399923986,-629.2981360684817,-313.53633303812387,-16.212761419853273,-36.39795628879196,-13.163238669934573
638495,-374502202356.6579,-76858299865.71779,-9196730600.29327,108088709.75671397,-22095.805683221148,1437.4317616334204,-185.3681371063219,64.35534460621308,-17.27433780438898,25.887642841174095
666258,-374602151400.43896,-76919008591.05165,-3324625892.1658216,-104979066.45366633,3450.397069089411,2883.342122780693,-69.9213257656799,2.4610774452453774,15.337300000476617,8.920811669459045
689140,-374501003148.93646,-85103348564.97073,-9058789797.106901,-23321465.57120398,-16212.992935180704,96.0843783564733,2.99151396616488,35.87401706422876,3.019683070954584,-3.5014919727568534
698627,-374442816944.3248,-78029583724.97421,2777780127.440259,-116815841.63176022,-23676.07800407756,-5379.462485739671,323.9256353009157,-75.0438892825782,6.628888015304749,-10.088294576127366
743095,-374109305823.4809,62534289172.25899,-899914338.8217067,62813304.971507266,34879.379057537226,-9087.80522620021,-111.57036378325284,-39.11232335928707,-52.25131520521277,-2.9377099675271903
765752,-374625723334.4277,-80716087433.11124,-176941059.6315375,79625192.5999106,-26702.588518188903,3016.53197693082,-213.7952108596273,32.82435733742045,-12.771334196614118,2.1212011790199763
774632,-374082502612.0715,59553289427.494484,-346068987.1178428,-110086184.67575885,-6415.072679556538,-12690.644073891022,3235.416708792572,-23.052549637617307,6.958548413988116,-13.040110558214668
782392,-374100201115.9949,70756321120.72406,-1076696985.606464,59375725.52165396,80813.500048425,-7539.376343863465,-316.5278311523353,-73.89156053084649,-47.007549290606725,-4.997872162046282
842777,-374492888334.46954,-81906167657.47133,-10776057696.743639,103256755.03710113,11145.132029084021,-25.38758659600983,-242.2911756865078,125.5150190126186,-17.6200705086974,5.013029648022999
843509,-374702186671.3157,-85173361338.89392,3833756663.6410275,-105110824.64451617,-26383.350457565026,2489.7152802010664,38.52345333480027,-62.98358214859411,12.612551967077342,-11.799495733978471
853886,-374736002607.4477,-83624430867.15627,2068371560.7479053,-82879532.01742318,-26531.06451133745,2573.1707995622596,8.4125548891631,-70.4417199863107,-0.2607211666094204,-9.937698906693008
891925,-374118092983.4941,81259177475.19801,5222081489.881116,-102083195.36554052,-13676.581017169123,804.3987095577653,-121.79543223034497,-43.46883611585924,-10.025829673802596,468.9850688552551
918825,-374151055561.6391,76697450590.52419,3047824696.800746,126748242.86642687,-14598.108381423841,2106.9636292417877,1383.4236272095022,-5.536239520350522,-38.33218832731933,2.5751607048731575
986904,-374356674317.2122,138459286033.0216,666394729.7675265,50689867.6963131,-10277.270670665266,1256.902819930651,-398.36119745319337,0.631205408368321,-39.71279831142195,-2.23217049963726
999590,-374078912503.47394,74947076401.65788,-1479492547.9889483,127295284.6140311,155057.78761602356,-6469.773240343767,-681.2004776742536,-168.04674903754758,-46.83386440198935,-3.722128664902966
1020523,-374059980864.99695,53709085956.59193,-20276543.93009732,-79323703.60248144,-13438.84081951652,-12709.415699128931,359.16422122241346,2.268486852814306,-50.336967777893534,-10.846988698373549
1034412,-374089822775.44885,200377339585.72226,-4811447418.633663,41401454.08124609,-24044.73000648225,3150.934384281857,-459.19194313497854,50.5035645205726,-30.537997810551587,0.7688845678933389
1042870,-374250075847.41,78494146111.31516,5832132322.777287,34238952.40288855,-28023.635208926607,5312.31973351036,-407.533908409387,-29.681216221506336,-23.832181959656953,-2.3575629222246723
1043488,-370534580902.2233,20291099585.60182,5770726889.407264,-71859749.28754841,67060.40637772853,-10198.413196642416,32.205584993527914,-135.5778068321336,41.1909854414129,-15.373247529124178
1138864,-374990856789.2161,223238884485.13803,-7644288147.757641,-31003058.51825433,-18070.233823209255,2577.2962981125015,-386.092130412391,46.359224699456966,-39.037981564885065,-3.6863634846504367
1146122,-374569376407.3394,98924752074.46797,914610469.7804946,-92430697.88240448,-15252.89343347727,-248.57101393589198,-106.00009366893012,-36.82449636116632,-26.88116310798205,-11.901205391783755
1175979,-374550628865.0702,33062704777.70817,3202261788.133763,-74688526.1573255,-13855.109831648988,-11276.652771253293,321.48610675226985,377.47679542099235,-45.870924496936766,-9.012792158119401
1195646,-374362352323.20416,58138829066.587685,802848339.1756644,71606038.00490049,19617.59232883156,-6375.194723505895,425.09087162213774,-29.828714988678893,8.776321225897712,-2.341734192071641
1219858,-374055582956.2217,184478345610.47226,-4648039176.642639,112419905.52146783,30337.588616119934,2490.8002752526518,-691.2525208688364,4.431853734565429,-44.43436284657845,1.6163993933317362
1221187,-374856142153.97327,173285158249.63058,-16430958138.593878,127735909.12399258,100286.26308041548,6713.111814826771,-1055.3361242641442,91.62715166729177,-29.26382691582741,3.143089146579575
1231201,154041653476.89548,194214666773.36182,2964699600.3566585,17222297.534827556,83314.87929385356,12834.63961701504,42151.82657549744,-27.605042583952727,-36.20281310495206,-16.972544612719357
1275957,-374162731766.3101,164053686951.89178,-2057217687.9216924,-85315029.54685897,7729.696336129057,458.0648058407051,-277.67673680809474,-16.28783837131638,-32.463566029614846,-12.782036959118114
1299305,-374628138196.41376,-76742901191.80508,-1910337903.0760045,-5404465.104985618,-26654.280082574005,3693.0245782445622,-131.2965526544065,-29.000689771580003,142.79882836260217,6.558107825928617
1308271,-374262231442.975,130733569541.26701,-264913378.16656122,41073465.55615313,-26882.67077085601,-887.4248267379982,-96.20714058547614,21.313608861480834,12.94545920217359,-2.0840200897354384
1342921,-374374562552.34894,-70889096266.52467,-13092149159.331419,88010270.06302737,26528.859492574233,-1576.3449398835858,-17.6348493074094,-26.409490050911746,-20.001522437380764,4.797159384179313
1378961,-374603666572.02704,-81598934679.89667,-2749400528.490739,22545603.8785649,3815.3880008579995,2452.7412515695614,-214.22745997319896,129.45767993321658,-7.146649167664305,-1.7253321586812151
1386383,-374542947422.84894,-54876166733.23829,-3773649813.012641,-11469830.171039544,-20339.151186600484,3452.6048724977654,-155.82079769607617,52.961381355403034,4.981701623846708,-2.5682590256156628
1392605,-374076981529.63086,78613957950.3937,5075217245.085214,-77313249.56224865,-21824.985318867653,-265.4309332996665,32.24985982304646,-19.162929289763404,-15.254384531111924,27.10409030339112
1427005,-374632711819.1015,-71874009233.42854,-1837953708.9304883,54977193.91766797,-26324.82748701164,4113.335868199577,-213.32616000327866,-17.810491870891468,2.3470894572936296,0.45694694920987217
